Rank,Metric,Weight,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5
1,MaxAE,0.1577,transolver,pointnet,transolver_pp,geofno,regdgcnn
2,MAC,0.1466,regdgcnn,geofno,transolver_pp,transolver,pointnet
3,MAE,0.1463,pointnet,transolver_pp,transolver,regdgcnn,geofno
4,MAPE (%),0.1384,geofno,regdgcnn,transolver,transolver_pp,pointnet
5,Rel-L2,0.1378,pointnet,transolver_pp,transolver,geofno,regdgcnn
6,R²,0.1372,pointnet,transolver_pp,transolver,geofno,regdgcnn
7,RMSE,0.136,pointnet,transolver_pp,transolver,geofno,regdgcnn
8,Parameters (M),0.0,regdgcnn,geofno,transolver_pp,pointnet,transolver
9,Training Time (s),0.0,geofno,pointnet,transolver,regdgcnn,transolver_pp
10,Inference Time (s),0.0,geofno,pointnet,transolver,transolver_pp,regdgcnn
