Rank,Metric,Weight,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5
1,MAC,0.3127,transolver,transolver_pp,regdgcnn,geofno,pointnet
2,MaxAE,0.1172,pointnet,transolver,transolver_pp,geofno,regdgcnn
3,MAPE (%),0.1162,regdgcnn,geofno,transolver,transolver_pp,pointnet
4,MAE,0.1149,pointnet,transolver_pp,transolver,geofno,regdgcnn
5,Rel-L2,0.113,pointnet,transolver_pp,transolver,geofno,regdgcnn
6,RMSE,0.113,pointnet,transolver_pp,transolver,geofno,regdgcnn
7,R²,0.113,pointnet,transolver_pp,transolver,geofno,regdgcnn
8,Parameters (M),0.0,regdgcnn,geofno,transolver_pp,pointnet,transolver
9,Training Time (s),0.0,geofno,pointnet,regdgcnn,transolver_pp,transolver
10,Inference Time (s),0.0,transolver_pp,transolver,regdgcnn,geofno,pointnet
