Rank,Metric,Weight,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5
1,MAC,0.1689,regdgcnn,transolver,geofno,pointnet,transolver_pp
2,MaxAE,0.1448,transolver_pp,pointnet,geofno,transolver,regdgcnn
3,MAPE (%),0.139,regdgcnn,geofno,transolver,transolver_pp,pointnet
4,MAE,0.1384,pointnet,transolver_pp,transolver,geofno,regdgcnn
5,Rel-L2,0.1367,pointnet,transolver_pp,transolver,geofno,regdgcnn
6,RMSE,0.1361,pointnet,transolver_pp,transolver,geofno,regdgcnn
7,R²,0.1361,pointnet,transolver_pp,transolver,geofno,regdgcnn
8,Parameters (M),0.0,regdgcnn,geofno,transolver_pp,pointnet,transolver
9,Training Time (s),0.0,geofno,regdgcnn,pointnet,transolver_pp,transolver
10,Inference Time (s),0.0,geofno,regdgcnn,pointnet,transolver_pp,transolver
