Rank,Metric,Weight,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5
1,MaxAE,0.1549,transolver,transolver_pp,regdgcnn,pointnet,geofno
2,MAPE (%),0.1532,regdgcnn,transolver,transolver_pp,pointnet,geofno
3,MAE,0.1465,transolver,regdgcnn,transolver_pp,geofno,pointnet
4,R²,0.1454,transolver,regdgcnn,transolver_pp,geofno,pointnet
5,Rel-L2,0.1454,transolver,regdgcnn,transolver_pp,geofno,pointnet
6,RMSE,0.1454,transolver,regdgcnn,transolver_pp,geofno,pointnet
7,MAC,0.1092,transolver,regdgcnn,transolver_pp,geofno,pointnet
8,Parameters (M),0.0,regdgcnn,geofno,transolver_pp,pointnet,transolver
9,Training Time (s),0.0,transolver_pp,pointnet,regdgcnn,transolver,geofno
10,Inference Time (s),0.0,transolver,transolver_pp,regdgcnn,geofno,pointnet
