Rank,Metric,Weight,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5
1,MaxAE,0.1714,regdgcnn,transolver,transolver_pp,pointnet,geofno
2,MAPE (%),0.1467,regdgcnn,transolver,transolver_pp,geofno,pointnet
3,Rel-L2,0.1439,regdgcnn,transolver,transolver_pp,geofno,pointnet
4,RMSE,0.1439,regdgcnn,transolver,transolver_pp,geofno,pointnet
5,R²,0.1439,regdgcnn,transolver,transolver_pp,geofno,pointnet
6,MAE,0.1434,regdgcnn,transolver,transolver_pp,geofno,pointnet
7,MAC,0.1068,transolver,regdgcnn,transolver_pp,geofno,pointnet
8,Parameters (M),0.0,regdgcnn,geofno,transolver_pp,pointnet,transolver
9,Training Time (s),0.0,geofno,transolver_pp,transolver,pointnet,regdgcnn
10,Inference Time (s),0.0,pointnet,transolver,regdgcnn,transolver_pp,geofno
