Rank,Metric,Weight,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5
1,MaxAE,0.1691,transolver,regdgcnn,transolver_pp,geofno,pointnet
2,MAPE (%),0.1579,transolver_pp,transolver,regdgcnn,geofno,pointnet
3,R²,0.1417,regdgcnn,transolver,transolver_pp,geofno,pointnet
4,Rel-L2,0.1417,regdgcnn,transolver_pp,transolver,geofno,pointnet
5,RMSE,0.1403,regdgcnn,transolver_pp,transolver,geofno,pointnet
6,MAE,0.14,regdgcnn,transolver_pp,transolver,geofno,pointnet
7,MAC,0.1094,transolver_pp,transolver,regdgcnn,geofno,pointnet
8,Parameters (M),0.0,regdgcnn,geofno,transolver_pp,pointnet,transolver
9,Training Time (s),0.0,geofno,transolver_pp,transolver,pointnet,regdgcnn
10,Inference Time (s),0.0,geofno,transolver_pp,pointnet,regdgcnn,transolver
