Rank,Metric,Weight,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5
1,MaxAE,0.2145,transolver_pp,regdgcnn,transolver,pointnet,geofno
2,MAPE (%),0.1634,transolver,transolver_pp,regdgcnn,pointnet,geofno
3,MAE,0.1303,transolver,transolver_pp,regdgcnn,pointnet,geofno
4,R²,0.1298,transolver,transolver_pp,regdgcnn,pointnet,geofno
5,Rel-L2,0.1298,transolver,transolver_pp,regdgcnn,pointnet,geofno
6,RMSE,0.1298,transolver,transolver_pp,regdgcnn,pointnet,geofno
7,MAC,0.1023,transolver,transolver_pp,regdgcnn,pointnet,geofno
8,Parameters (M),0.0,regdgcnn,geofno,transolver_pp,pointnet,transolver
9,Training Time (s),0.0,regdgcnn,transolver_pp,geofno,pointnet,transolver
10,Inference Time (s),0.0,regdgcnn,transolver_pp,pointnet,transolver,geofno
