Rank,Metric,Weight,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5,Rank 6
1,MaxAE,0.2178,transolver_pp,abupt,regdgcnn,transolver,geofno,pointnet
2,MAPE (%),0.1449,regdgcnn,transolver_pp,transolver,abupt,pointnet,geofno
3,MAE,0.1377,transolver_pp,regdgcnn,transolver,abupt,pointnet,geofno
4,R²,0.1337,transolver,transolver_pp,regdgcnn,abupt,pointnet,geofno
5,Rel-L2,0.1337,regdgcnn,transolver,transolver_pp,abupt,pointnet,geofno
6,RMSE,0.1337,regdgcnn,transolver_pp,transolver,abupt,pointnet,geofno
7,MAC,0.0984,regdgcnn,transolver,abupt,transolver_pp,pointnet,geofno
8,Parameters (M),0.0,regdgcnn,geofno,transolver_pp,pointnet,transolver,abupt
9,Training Time (s),0.0,pointnet,geofno,transolver_pp,transolver,abupt,regdgcnn
10,Inference Time (s),0.0,geofno,transolver,pointnet,abupt,regdgcnn,transolver_pp
