Rank,Metric,Weight,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5,Rank 6
1,MaxAE,0.2154,regdgcnn,transolver,transolver_pp,abupt,pointnet,geofno
2,MAPE (%),0.1481,transolver,regdgcnn,transolver_pp,abupt,geofno,pointnet
3,MAE,0.1351,transolver,regdgcnn,transolver_pp,abupt,geofno,pointnet
4,RMSE,0.1334,transolver,regdgcnn,transolver_pp,abupt,geofno,pointnet
5,Rel-L2,0.1334,transolver,regdgcnn,transolver_pp,abupt,geofno,pointnet
6,R²,0.1333,transolver,regdgcnn,transolver_pp,abupt,geofno,pointnet
7,MAC,0.1015,transolver,abupt,regdgcnn,transolver_pp,geofno,pointnet
8,Parameters (M),0.0,regdgcnn,geofno,transolver_pp,pointnet,transolver,abupt
9,Training Time (s),0.0,transolver_pp,transolver,geofno,pointnet,regdgcnn,abupt
10,Inference Time (s),0.0,abupt,regdgcnn,geofno,transolver,transolver_pp,pointnet
