Rank,Metric,Weight,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5,Rank 6
1,MaxAE,0.192,transolver,regdgcnn,transolver_pp,abupt,geofno,pointnet
2,MAE,0.1616,transolver,transolver_pp,abupt,regdgcnn,pointnet,geofno
3,Rel-L2,0.1616,transolver,transolver_pp,abupt,regdgcnn,pointnet,geofno
4,R²,0.1616,transolver,transolver_pp,abupt,regdgcnn,pointnet,geofno
5,MAPE (%),0.1616,transolver,transolver_pp,abupt,regdgcnn,pointnet,geofno
6,RMSE,0.1616,transolver,transolver_pp,abupt,regdgcnn,pointnet,geofno
7,Training Time (s),0.0,geofno,pointnet,regdgcnn,transolver_pp,transolver,abupt
8,Parameters (M),0.0,regdgcnn,geofno,transolver_pp,pointnet,transolver,abupt
9,Inference Time (s),0.0,pointnet,transolver,transolver_pp,regdgcnn,abupt,geofno
10,MAC,0.0,abupt,geofno,pointnet,regdgcnn,transolver,transolver_pp
