Rank,Metric,Weight,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5,Rank 6
1,MaxAE,0.233,abupt,transolver,regdgcnn,transolver_pp,pointnet,geofno
2,MAPE (%),0.1414,regdgcnn,transolver_pp,transolver,abupt,geofno,pointnet
3,MAE,0.134,transolver_pp,transolver,regdgcnn,abupt,geofno,pointnet
4,R²,0.1302,transolver,regdgcnn,abupt,transolver_pp,geofno,pointnet
5,Rel-L2,0.1302,transolver,regdgcnn,transolver_pp,abupt,geofno,pointnet
6,RMSE,0.1302,transolver_pp,transolver,regdgcnn,abupt,geofno,pointnet
7,MAC,0.101,regdgcnn,transolver,abupt,transolver_pp,geofno,pointnet
8,Parameters (M),0.0,regdgcnn,geofno,transolver_pp,pointnet,transolver,abupt
9,Training Time (s),0.0,pointnet,geofno,transolver,transolver_pp,abupt,regdgcnn
10,Inference Time (s),0.0,geofno,transolver,abupt,pointnet,regdgcnn,transolver_pp
