Rank,Metric,Weight,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5,Rank 6
1,MaxAE,0.2183,transolver,abupt,regdgcnn,pointnet,transolver_pp,geofno
2,MAC,0.1456,transolver,regdgcnn,abupt,transolver_pp,pointnet,geofno
3,MAPE (%),0.1317,regdgcnn,transolver_pp,abupt,transolver,pointnet,geofno
4,MAE,0.129,regdgcnn,transolver,abupt,transolver_pp,pointnet,geofno
5,Rel-L2,0.1251,transolver,regdgcnn,abupt,transolver_pp,pointnet,geofno
6,RMSE,0.1251,transolver,regdgcnn,abupt,transolver_pp,pointnet,geofno
7,R²,0.1251,transolver,abupt,transolver_pp,regdgcnn,pointnet,geofno
8,Parameters (M),0.0,regdgcnn,geofno,transolver_pp,pointnet,transolver,abupt
9,Training Time (s),0.0,geofno,pointnet,transolver_pp,transolver,regdgcnn,abupt
10,Inference Time (s),0.0,transolver,geofno,regdgcnn,abupt,pointnet,transolver_pp
