Rank,Metric,Weight,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5,Rank 6
1,MaxAE,0.2181,abupt,regdgcnn,transolver,transolver_pp,pointnet,geofno
2,MAPE (%),0.1438,abupt,regdgcnn,transolver_pp,transolver,geofno,pointnet
3,MAC,0.1292,abupt,transolver,transolver_pp,regdgcnn,geofno,pointnet
4,MAE,0.1288,abupt,transolver,transolver_pp,regdgcnn,geofno,pointnet
5,Rel-L2,0.1267,abupt,transolver,transolver_pp,regdgcnn,geofno,pointnet
6,RMSE,0.1267,abupt,transolver,transolver_pp,regdgcnn,geofno,pointnet
7,R²,0.1267,abupt,transolver,transolver_pp,regdgcnn,geofno,pointnet
8,Parameters (M),0.0,regdgcnn,geofno,transolver_pp,pointnet,transolver,abupt
9,Training Time (s),0.0,geofno,pointnet,transolver,transolver_pp,regdgcnn,abupt
10,Inference Time (s),0.0,geofno,regdgcnn,abupt,pointnet,transolver,transolver_pp
