Rank,Metric,Weight,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5,Rank 6
1,MaxAE,0.1947,abupt,transolver,regdgcnn,pointnet,transolver_pp,geofno
2,MAPE (%),0.149,transolver_pp,abupt,transolver,regdgcnn,geofno,pointnet
3,MAE,0.1369,abupt,transolver,transolver_pp,regdgcnn,geofno,pointnet
4,R²,0.1298,abupt,transolver,transolver_pp,regdgcnn,geofno,pointnet
5,Rel-L2,0.1298,abupt,transolver,transolver_pp,regdgcnn,geofno,pointnet
6,RMSE,0.1298,abupt,transolver,transolver_pp,regdgcnn,geofno,pointnet
7,MAC,0.1298,abupt,transolver,transolver_pp,regdgcnn,geofno,pointnet
8,Parameters (M),0.0,regdgcnn,geofno,transolver_pp,pointnet,transolver,abupt
9,Training Time (s),0.0,transolver,geofno,regdgcnn,transolver_pp,pointnet,abupt
10,Inference Time (s),0.0,pointnet,transolver_pp,transolver,regdgcnn,abupt,geofno
