Rank,Metric,Weight,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5,Rank 6
1,MaxAE,0.2436,transolver_pp,transolver,pointnet,regdgcnn,abupt,geofno
2,MAPE (%),0.1426,abupt,regdgcnn,transolver_pp,transolver,pointnet,geofno
3,MAC,0.1256,abupt,transolver,transolver_pp,regdgcnn,pointnet,geofno
4,MAE,0.1226,abupt,transolver_pp,transolver,regdgcnn,pointnet,geofno
5,Rel-L2,0.1219,abupt,transolver_pp,transolver,regdgcnn,pointnet,geofno
6,RMSE,0.1219,abupt,transolver_pp,transolver,regdgcnn,pointnet,geofno
7,R²,0.1219,abupt,transolver,transolver_pp,regdgcnn,pointnet,geofno
8,Parameters (M),0.0,regdgcnn,geofno,transolver_pp,pointnet,transolver,abupt
9,Training Time (s),0.0,geofno,pointnet,transolver,transolver_pp,regdgcnn,abupt
10,Inference Time (s),0.0,transolver_pp,transolver,geofno,regdgcnn,abupt,pointnet
