Rank,domain,task,model,dataset,size,Group Key,Unified Score,Graph Density,Parameters (M) (Value),Parameters (M) (Rank),Parameters (M) (Weight),Training Time (s) (Value),Training Time (s) (Rank),Training Time (s) (Weight),Inference Time (s) (Value),Inference Time (s) (Rank),Inference Time (s) (Weight),MAE (Value),MAE (Rank),MAE (Weight),RMSE (Value),RMSE (Rank),RMSE (Weight),MAPE (%) (Value),MAPE (%) (Rank),MAPE (%) (Weight),R² (Value),R² (Rank),R² (Weight),Rel-L2 (Value),Rel-L2 (Rank),Rel-L2 (Weight),MaxAE (Value),MaxAE (Rank),MaxAE (Weight),MAC (Value),MAC (Rank),MAC (Weight)
1,dimension_3d,evaluation,transolver_pp,deepjeb_3d_2d,L,diagonal::disp_x,100.0,0.5,1.7412,3,0.1159,3383.6801,3,0.1159,0.2213,2,0.1629,0.308,2,0.0804,0.4784,2,0.0849,66.9657,2,0.0804,0.8026,2,0.0849,0.4344,2,0.0849,7.0277,2,0.0804,0.9005,3.0,0.1096
1,dimension_3d,evaluation,transolver_pp,deepjeb_3d_2d,L,diagonal::disp_y,100.0,0.5,1.7412,3,0.1264,3383.6801,3,0.1264,0.2213,2,0.1517,0.1803,2,0.0843,0.3546,3,0.082,52.5448,2,0.0843,0.9,3,0.082,0.3162,3,0.082,8.1148,3,0.0905,0.9005,3.0,0.0905
1,dimension_3d,evaluation,transolver_pp,deepjeb_3d_2d,L,diagonal::disp_z,100.0,0.5,1.7412,3,0.1566,3383.6801,3,0.1566,0.2213,2,0.1084,0.2924,3,0.0783,0.3863,3,0.0783,56.0532,4,0.1084,0.8786,3,0.0783,0.3321,3,0.0783,3.5966,3,0.0783,0.9005,3.0,0.0783
1,dimension_3d,evaluation,transolver_pp,deepjeb_3d_2d,L,diagonal::stress,100.0,0.5,1.7412,3,0.1218,3383.6801,3,0.1218,0.2213,2,0.159,0.42,2,0.0908,0.6627,2,0.0954,75.5564,3,0.0987,0.6887,2,0.0954,0.552,2,0.0954,19.5151,2,0.1218,,,0.0
1,dimension_3d,evaluation,transolver_pp,deepjeb_3d_2d,L,horizontal::disp_x,100.0,0.5,1.7412,3,0.122,3412.0983,3,0.122,0.2232,2,0.1749,0.1939,2,0.076,0.2542,2,0.076,52.7118,3,0.0889,0.9511,2,0.076,0.2159,2,0.076,5.0016,1,0.0833,0.9288,1.0,0.1049
1,dimension_3d,evaluation,transolver_pp,deepjeb_3d_2d,L,horizontal::disp_y,100.0,0.5,1.7412,3,0.1491,3412.0983,3,0.1491,0.2232,2,0.2236,0.273,1,0.0683,0.4713,1,0.0683,63.645,1,0.0683,0.8365,1,0.0683,0.4044,1,0.0683,11.4191,1,0.0683,0.9288,1.0,0.0683
1,dimension_3d,evaluation,transolver_pp,deepjeb_3d_2d,L,horizontal::disp_z,100.0,0.5,1.7412,3,0.1364,3412.0983,3,0.1364,0.2232,2,0.1869,0.0997,1,0.0753,0.1985,1,0.0753,20.3984,1,0.0701,0.9726,1,0.0753,0.1654,1,0.0753,4.2745,2,0.0935,0.9288,1.0,0.0753
1,dimension_3d,evaluation,transolver_pp,deepjeb_3d_2d,L,horizontal::stress,100.0,0.5,1.7412,3,0.1149,3412.0983,3,0.1149,0.2232,2,0.193,0.3749,2,0.0894,0.661,1,0.0894,65.7295,2,0.0894,0.7126,1,0.0894,0.5361,1,0.0894,17.6135,1,0.1304,,,0.0
1,dimension_3d,evaluation,transolver,deepjeb_3d_2d,L,mode_shape_1::mode_x,100.0,0.45,3.7785,5,0.0987,2034.7117,1,0.1054,0.1944,2,0.1321,0.8633,1,0.0878,1.1918,1,0.0878,196.8382,4,0.0906,0.0,1,0.0878,1.0,1,0.0878,15.5851,1,0.0896,0.0168,3.0,0.1321
1,dimension_3d,evaluation,pointnet,deepjeb_3d_2d,L,mode_shape_1::mode_y,100.0,0.45,3.6681,4,0.0991,2573.1286,3,0.0998,0.1911,1,0.1386,0.7901,1,0.085,1.1661,1,0.085,197.9075,5,0.0872,0.0,2,0.0872,1.0,1,0.085,15.2155,2,0.1166,0.0095,4.0,0.1166
1,dimension_3d,evaluation,transolver,deepjeb_3d_2d,L,mode_shape_1::mode_z,100.0,0.45,3.7785,5,0.0967,2034.7117,1,0.1091,0.1944,2,0.1232,0.9804,1,0.0871,1.2125,2,0.0888,197.3846,4,0.0955,-0.0001,2,0.0888,1.0,1,0.0871,8.0502,1,0.0898,0.0168,3.0,0.134
