Rank,Metric,Weight,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5,Rank 6
1,Parameters (M),0.1581,regdgcnn,geofno,transolver_pp,pointnet,transolver,abupt
2,Inference Time (s),0.1369,regdgcnn,geofno,transolver,transolver_pp,abupt,pointnet
3,Training Time (s),0.1209,abupt,geofno,regdgcnn,pointnet,transolver_pp,transolver
4,MaxAE,0.0998,abupt,transolver,transolver_pp,regdgcnn,pointnet,geofno
5,MAPE (%),0.0852,abupt,regdgcnn,transolver,transolver_pp,geofno,pointnet
6,R²,0.0803,abupt,transolver,transolver_pp,regdgcnn,geofno,pointnet
7,Rel-L2,0.0803,abupt,transolver,transolver_pp,regdgcnn,geofno,pointnet
8,RMSE,0.0801,abupt,transolver,transolver_pp,regdgcnn,geofno,pointnet
9,MAE,0.0796,abupt,transolver,transolver_pp,regdgcnn,geofno,pointnet
10,MAC,0.0787,abupt,regdgcnn,transolver_pp,transolver,pointnet,geofno
