Rank,Metric,Weight,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5,Rank 6
1,Parameters (M),0.1504,regdgcnn,geofno,transolver_pp,pointnet,transolver,abupt
2,Training Time (s),0.1394,geofno,abupt,pointnet,transolver_pp,transolver,regdgcnn
3,Inference Time (s),0.1379,regdgcnn,transolver_pp,pointnet,geofno,abupt,transolver
4,MaxAE,0.0972,abupt,transolver_pp,transolver,regdgcnn,pointnet,geofno
5,MAE,0.0851,abupt,transolver,transolver_pp,regdgcnn,geofno,pointnet
6,MAPE (%),0.085,abupt,regdgcnn,transolver_pp,transolver,geofno,pointnet
7,RMSE,0.0789,abupt,transolver,transolver_pp,regdgcnn,geofno,pointnet
8,Rel-L2,0.0789,abupt,transolver,transolver_pp,regdgcnn,geofno,pointnet
9,R²,0.0788,abupt,transolver,transolver_pp,regdgcnn,geofno,pointnet
10,MAC,0.0683,regdgcnn,abupt,transolver,transolver_pp,geofno,pointnet
