Rank,Metric,Weight,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5,Rank 6
1,Parameters (M),0.1806,regdgcnn,geofno,transolver_pp,pointnet,transolver,abupt
2,Inference Time (s),0.1373,geofno,pointnet,transolver,transolver_pp,regdgcnn,abupt
3,Training Time (s),0.1242,geofno,abupt,pointnet,transolver_pp,transolver,regdgcnn
4,MaxAE,0.0978,abupt,transolver,pointnet,transolver_pp,regdgcnn,geofno
5,MAPE (%),0.0824,abupt,regdgcnn,transolver,transolver_pp,geofno,pointnet
6,MAE,0.0779,abupt,transolver_pp,transolver,pointnet,geofno,regdgcnn
7,RMSE,0.0775,abupt,transolver_pp,transolver,pointnet,geofno,regdgcnn
8,R²,0.0775,abupt,transolver,transolver_pp,regdgcnn,geofno,pointnet
9,Rel-L2,0.0774,abupt,transolver,transolver_pp,regdgcnn,geofno,pointnet
10,MAC,0.0674,abupt,regdgcnn,transolver,transolver_pp,geofno,pointnet
