Rank,Metric,Weight,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5,Rank 6
1,Training Time (s),0.1529,abupt,geofno,pointnet,transolver_pp,transolver,regdgcnn
2,Parameters (M),0.1488,regdgcnn,geofno,transolver_pp,pointnet,transolver,abupt
3,Inference Time (s),0.1272,geofno,pointnet,transolver_pp,regdgcnn,transolver,abupt
4,MaxAE,0.0956,abupt,transolver_pp,transolver,pointnet,geofno,regdgcnn
5,MAPE (%),0.0829,abupt,regdgcnn,transolver,transolver_pp,geofno,pointnet
6,RMSE,0.0826,abupt,transolver,transolver_pp,pointnet,geofno,regdgcnn
7,R²,0.0819,abupt,transolver,transolver_pp,regdgcnn,pointnet,geofno
8,Rel-L2,0.0816,abupt,transolver,transolver_pp,regdgcnn,pointnet,geofno
9,MAE,0.0812,abupt,transolver,transolver_pp,pointnet,geofno,regdgcnn
10,MAC,0.0654,abupt,regdgcnn,transolver_pp,transolver,pointnet,geofno
