Rank,Metric,Weight,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5
1,Parameters (M),0.1475,regdgcnn,geofno,transolver_pp,pointnet,transolver
2,Training Time (s),0.1323,geofno,regdgcnn,transolver_pp,pointnet,transolver
3,Inference Time (s),0.1236,regdgcnn,geofno,transolver,transolver_pp,pointnet
4,MaxAE,0.0945,transolver,transolver_pp,regdgcnn,pointnet,geofno
5,MAC,0.0868,regdgcnn,transolver_pp,transolver,geofno,pointnet
6,MAPE (%),0.0863,regdgcnn,transolver_pp,transolver,geofno,pointnet
7,R²,0.0824,transolver,transolver_pp,regdgcnn,geofno,pointnet
8,Rel-L2,0.0824,transolver,transolver_pp,regdgcnn,geofno,pointnet
9,RMSE,0.0822,transolver,transolver_pp,regdgcnn,geofno,pointnet
10,MAE,0.0818,transolver,transolver_pp,regdgcnn,geofno,pointnet
