Rank,Metric,Weight,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5
1,Inference Time (s),0.1667,pointnet,transolver_pp,transolver,regdgcnn,geofno
2,Parameters (M),0.1344,regdgcnn,geofno,transolver_pp,pointnet,transolver
3,Training Time (s),0.1105,pointnet,transolver,geofno,transolver_pp,regdgcnn
4,MaxAE,0.1031,transolver,regdgcnn,transolver_pp,pointnet,geofno
5,MAPE (%),0.086,regdgcnn,transolver_pp,transolver,geofno,pointnet
6,MAE,0.0821,transolver,transolver_pp,regdgcnn,geofno,pointnet
7,RMSE,0.0812,transolver,transolver_pp,regdgcnn,geofno,pointnet
8,R²,0.0812,transolver,transolver_pp,regdgcnn,geofno,pointnet
9,Rel-L2,0.0812,transolver,transolver_pp,regdgcnn,geofno,pointnet
10,MAC,0.0735,regdgcnn,transolver_pp,transolver,geofno,pointnet
