Rank,Metric,Weight,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5
1,Parameters (M),0.1563,regdgcnn,geofno,transolver_pp,pointnet,transolver
2,Training Time (s),0.1439,geofno,pointnet,transolver,transolver_pp,regdgcnn
3,Inference Time (s),0.1218,geofno,pointnet,transolver_pp,regdgcnn,transolver
4,MaxAE,0.0926,transolver_pp,transolver,pointnet,regdgcnn,geofno
5,MAPE (%),0.0901,regdgcnn,transolver_pp,transolver,geofno,pointnet
6,MAE,0.0818,transolver,transolver_pp,pointnet,geofno,regdgcnn
7,RMSE,0.0807,transolver,transolver_pp,pointnet,geofno,regdgcnn
8,R²,0.0806,transolver,transolver_pp,regdgcnn,geofno,pointnet
9,Rel-L2,0.0806,transolver,transolver_pp,regdgcnn,geofno,pointnet
10,MAC,0.0717,regdgcnn,transolver_pp,transolver,geofno,pointnet
