Rank,Metric,Weight,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5
1,Parameters (M),0.1694,regdgcnn,geofno,transolver_pp,pointnet,transolver
2,Inference Time (s),0.146,transolver,pointnet,regdgcnn,transolver_pp,geofno
3,MaxAE,0.1055,transolver,transolver_pp,regdgcnn,pointnet,geofno
4,Training Time (s),0.1029,geofno,pointnet,transolver,transolver_pp,regdgcnn
5,MAPE (%),0.0857,regdgcnn,transolver_pp,transolver,geofno,pointnet
6,MAE,0.0806,transolver,regdgcnn,transolver_pp,geofno,pointnet
7,RMSE,0.0802,transolver,regdgcnn,transolver_pp,geofno,pointnet
8,R²,0.0802,transolver,regdgcnn,transolver_pp,geofno,pointnet
9,Rel-L2,0.0802,transolver,regdgcnn,transolver_pp,geofno,pointnet
10,MAC,0.0695,transolver_pp,regdgcnn,transolver,geofno,pointnet
