Rank,Metric,Weight,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5
1,Inference Time (s),0.1455,pointnet,transolver_pp,transolver,geofno,regdgcnn
2,Parameters (M),0.1302,regdgcnn,geofno,transolver_pp,pointnet,transolver
3,Training Time (s),0.1302,transolver,pointnet,transolver_pp,geofno,regdgcnn
4,MAPE (%),0.0929,regdgcnn,transolver,transolver_pp,pointnet,geofno
5,MaxAE,0.0927,regdgcnn,transolver,transolver_pp,pointnet,geofno
6,RMSE,0.0851,transolver,regdgcnn,transolver_pp,pointnet,geofno
7,Rel-L2,0.0851,transolver,regdgcnn,transolver_pp,pointnet,geofno
8,R²,0.0851,transolver,regdgcnn,transolver_pp,pointnet,geofno
9,MAE,0.0834,regdgcnn,transolver,transolver_pp,pointnet,geofno
10,MAC,0.0696,regdgcnn,transolver,transolver_pp,pointnet,geofno
