Rank,Metric,Weight,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5
1,Inference Time (s),0.1918,transolver_pp,regdgcnn,geofno,pointnet,transolver
2,Parameters (M),0.1888,regdgcnn,geofno,transolver_pp,pointnet,transolver
3,Training Time (s),0.0943,geofno,transolver_pp,pointnet,transolver,regdgcnn
4,MaxAE,0.0917,transolver_pp,transolver,regdgcnn,pointnet,geofno
5,RMSE,0.0757,regdgcnn,transolver,transolver_pp,geofno,pointnet
6,MAE,0.0757,regdgcnn,transolver,transolver_pp,pointnet,geofno
7,MAPE (%),0.0757,regdgcnn,transolver,transolver_pp,geofno,pointnet
8,R²,0.0757,regdgcnn,transolver,transolver_pp,geofno,pointnet
9,Rel-L2,0.0757,regdgcnn,transolver,transolver_pp,geofno,pointnet
10,MAC,0.0547,regdgcnn,transolver,transolver_pp,pointnet,geofno
