Rank,Metric,Weight,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5
1,Parameters (M),0.2638,regdgcnn,geofno,transolver_pp,pointnet,transolver
2,Inference Time (s),0.1377,geofno,transolver,pointnet,regdgcnn,transolver_pp
3,Training Time (s),0.0873,geofno,transolver_pp,pointnet,transolver,regdgcnn
4,MaxAE,0.0825,regdgcnn,transolver,transolver_pp,geofno,pointnet
5,MAPE (%),0.0752,regdgcnn,transolver,transolver_pp,geofno,pointnet
6,MAE,0.0745,regdgcnn,transolver,transolver_pp,pointnet,geofno
7,RMSE,0.0745,regdgcnn,transolver,transolver_pp,pointnet,geofno
8,R²,0.0745,regdgcnn,transolver,transolver_pp,geofno,pointnet
9,Rel-L2,0.0745,regdgcnn,transolver,transolver_pp,geofno,pointnet
10,MAC,0.0555,regdgcnn,transolver,transolver_pp,pointnet,geofno
