Rank,Metric,Weight,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5
1,Inference Time (s),0.1933,pointnet,transolver_pp,regdgcnn,transolver,geofno
2,Parameters (M),0.1189,regdgcnn,geofno,transolver_pp,pointnet,transolver
3,Training Time (s),0.1189,transolver,pointnet,transolver_pp,geofno,regdgcnn
4,MaxAE,0.1053,regdgcnn,transolver,transolver_pp,pointnet,geofno
5,MAPE (%),0.0865,transolver,transolver_pp,regdgcnn,pointnet,geofno
6,MAE,0.0804,transolver,transolver_pp,regdgcnn,geofno,pointnet
7,RMSE,0.0774,transolver,transolver_pp,regdgcnn,geofno,pointnet
8,R²,0.0774,transolver_pp,transolver,regdgcnn,geofno,pointnet
9,Rel-L2,0.0774,transolver,transolver_pp,regdgcnn,geofno,pointnet
10,MAC,0.0642,transolver,regdgcnn,transolver_pp,pointnet,geofno
