Rank,Metric,Weight,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5
1,Inference Time (s),0.1946,pointnet,transolver_pp,transolver,regdgcnn,geofno
2,Parameters (M),0.1306,regdgcnn,geofno,transolver_pp,pointnet,transolver
3,Training Time (s),0.1306,transolver,pointnet,transolver_pp,geofno,regdgcnn
4,MaxAE,0.0939,transolver_pp,regdgcnn,transolver,pointnet,geofno
5,MAPE (%),0.0792,transolver,transolver_pp,regdgcnn,geofno,pointnet
6,MAE,0.0773,transolver_pp,transolver,regdgcnn,geofno,pointnet
7,RMSE,0.0773,transolver_pp,transolver,regdgcnn,geofno,pointnet
8,R²,0.0773,transolver_pp,transolver,regdgcnn,geofno,pointnet
9,Rel-L2,0.0773,transolver_pp,transolver,regdgcnn,geofno,pointnet
10,MAC,0.0621,transolver_pp,transolver,regdgcnn,geofno,pointnet
