Rank,Metric,Weight,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5
1,Parameters (M),0.1615,regdgcnn,geofno,transolver_pp,pointnet,transolver
2,Training Time (s),0.1469,geofno,transolver_pp,pointnet,transolver,regdgcnn
3,Inference Time (s),0.1157,geofno,transolver_pp,pointnet,regdgcnn,transolver
4,MaxAE,0.0966,regdgcnn,transolver_pp,geofno,pointnet,transolver
5,R²,0.0873,transolver_pp,regdgcnn,transolver,geofno,pointnet
6,Rel-L2,0.0873,transolver_pp,regdgcnn,transolver,geofno,pointnet
7,RMSE,0.0853,transolver_pp,transolver,regdgcnn,geofno,pointnet
8,MAE,0.081,transolver,transolver_pp,regdgcnn,geofno,pointnet
9,MAPE (%),0.08,transolver,transolver_pp,regdgcnn,geofno,pointnet
10,MAC,0.0582,transolver,transolver_pp,regdgcnn,pointnet,geofno
