Rank,Metric,Weight,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5
1,Inference Time (s),0.2367,pointnet,transolver_pp,transolver,regdgcnn,geofno
2,Parameters (M),0.1597,regdgcnn,geofno,transolver_pp,pointnet,transolver
3,MAPE (%),0.084,transolver_pp,transolver,regdgcnn,geofno,pointnet
4,Training Time (s),0.0824,pointnet,geofno,transolver,transolver_pp,regdgcnn
5,MaxAE,0.0773,transolver_pp,transolver,regdgcnn,geofno,pointnet
6,MAE,0.0761,transolver_pp,transolver,regdgcnn,geofno,pointnet
7,RMSE,0.0744,transolver_pp,transolver,regdgcnn,geofno,pointnet
8,R²,0.0744,transolver_pp,transolver,regdgcnn,geofno,pointnet
9,Rel-L2,0.0744,transolver_pp,transolver,regdgcnn,geofno,pointnet
10,MAC,0.0606,transolver_pp,transolver,regdgcnn,geofno,pointnet
