Rank,Metric,Weight,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5
1,Inference Time (s),0.1739,transolver,pointnet,regdgcnn,transolver_pp,geofno
2,Parameters (M),0.1485,regdgcnn,geofno,transolver_pp,pointnet,transolver
3,MaxAE,0.1069,transolver_pp,transolver,regdgcnn,pointnet,geofno
4,Training Time (s),0.087,pointnet,geofno,transolver,transolver_pp,regdgcnn
5,MAPE (%),0.0849,regdgcnn,transolver,transolver_pp,geofno,pointnet
6,MAE,0.0832,regdgcnn,transolver_pp,transolver,geofno,pointnet
7,RMSE,0.0822,regdgcnn,transolver_pp,transolver,geofno,pointnet
8,R²,0.0822,regdgcnn,transolver_pp,transolver,geofno,pointnet
9,Rel-L2,0.0822,regdgcnn,transolver_pp,transolver,geofno,pointnet
10,MAC,0.0689,transolver,regdgcnn,transolver_pp,pointnet,geofno
