Rank,Metric,Weight,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5
1,Inference Time (s),0.1565,geofno,transolver_pp,regdgcnn,transolver,pointnet
2,Parameters (M),0.1488,regdgcnn,geofno,transolver_pp,pointnet,transolver
3,Training Time (s),0.1127,geofno,transolver_pp,pointnet,regdgcnn,transolver
4,MaxAE,0.1102,pointnet,regdgcnn,transolver,transolver_pp,geofno
5,R²,0.084,transolver_pp,transolver,regdgcnn,geofno,pointnet
6,RMSE,0.084,transolver_pp,transolver,regdgcnn,geofno,pointnet
7,Rel-L2,0.084,transolver_pp,transolver,regdgcnn,geofno,pointnet
8,MAE,0.0825,transolver,transolver_pp,regdgcnn,geofno,pointnet
9,MAPE (%),0.0798,transolver,transolver_pp,regdgcnn,pointnet,geofno
10,MAC,0.0573,transolver,transolver_pp,regdgcnn,pointnet,geofno
