Rank,Metric,Weight,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5
1,Inference Time (s),0.1313,pointnet,transolver,transolver_pp,regdgcnn,geofno
2,MAC,0.1276,regdgcnn,transolver_pp,transolver,pointnet,geofno
3,Training Time (s),0.1047,transolver,geofno,pointnet,transolver_pp,regdgcnn
4,MaxAE,0.0987,transolver,pointnet,geofno,transolver_pp,regdgcnn
5,Parameters (M),0.0981,regdgcnn,geofno,transolver_pp,pointnet,transolver
6,MAPE (%),0.0911,regdgcnn,transolver_pp,geofno,transolver,pointnet
7,R²,0.088,pointnet,transolver,geofno,transolver_pp,regdgcnn
8,RMSE,0.0872,pointnet,transolver,geofno,transolver_pp,regdgcnn
9,MAE,0.0866,pointnet,transolver,geofno,transolver_pp,regdgcnn
10,Rel-L2,0.0866,pointnet,transolver,geofno,transolver_pp,regdgcnn
