Rank,Metric,Weight,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5
1,MAC,0.1348,regdgcnn,transolver,transolver_pp,pointnet,geofno
2,Inference Time (s),0.1344,geofno,pointnet,transolver,regdgcnn,transolver_pp
3,Training Time (s),0.1212,geofno,pointnet,transolver,transolver_pp,regdgcnn
4,MaxAE,0.1001,transolver,transolver_pp,pointnet,geofno,regdgcnn
5,MAE,0.088,pointnet,transolver_pp,transolver,geofno,regdgcnn
6,Parameters (M),0.0875,regdgcnn,geofno,transolver_pp,pointnet,transolver
7,MAPE (%),0.0846,regdgcnn,geofno,transolver_pp,transolver,pointnet
8,RMSE,0.0838,transolver,transolver_pp,pointnet,geofno,regdgcnn
9,R²,0.0838,transolver_pp,transolver,pointnet,geofno,regdgcnn
10,Rel-L2,0.0818,transolver,transolver_pp,pointnet,geofno,regdgcnn
