Rank,Metric,Weight,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5
1,MaxAE,0.1443,pointnet,transolver,geofno,regdgcnn,transolver_pp
2,Inference Time (s),0.1339,pointnet,transolver_pp,transolver,regdgcnn,geofno
3,Parameters (M),0.1005,regdgcnn,geofno,transolver_pp,pointnet,transolver
4,MAC,0.1004,regdgcnn,transolver_pp,transolver,geofno,pointnet
5,Training Time (s),0.0869,pointnet,transolver,geofno,transolver_pp,regdgcnn
6,MAE,0.0869,pointnet,transolver,geofno,transolver_pp,regdgcnn
7,Rel-L2,0.0869,pointnet,transolver,geofno,transolver_pp,regdgcnn
8,RMSE,0.0869,pointnet,transolver,geofno,transolver_pp,regdgcnn
9,R²,0.0869,pointnet,transolver,geofno,transolver_pp,regdgcnn
10,MAPE (%),0.0865,regdgcnn,transolver_pp,geofno,transolver,pointnet
