Rank,Metric,Weight,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5
1,Inference Time (s),0.1855,geofno,pointnet,transolver,regdgcnn,transolver_pp
2,Training Time (s),0.1439,geofno,pointnet,transolver,transolver_pp,regdgcnn
3,MaxAE,0.1,transolver_pp,transolver,pointnet,geofno,regdgcnn
4,MAC,0.094,regdgcnn,geofno,pointnet,transolver_pp,transolver
5,Parameters (M),0.083,regdgcnn,geofno,transolver_pp,pointnet,transolver
6,MAPE (%),0.0802,regdgcnn,geofno,transolver_pp,transolver,pointnet
7,RMSE,0.0786,transolver,pointnet,transolver_pp,geofno,regdgcnn
8,MAE,0.0786,pointnet,transolver,transolver_pp,geofno,regdgcnn
9,R²,0.0786,transolver,pointnet,transolver_pp,geofno,regdgcnn
10,Rel-L2,0.0776,transolver,pointnet,transolver_pp,geofno,regdgcnn
