Rank,Metric,Weight,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5
1,Inference Time (s),0.1459,geofno,pointnet,regdgcnn,transolver_pp,transolver
2,Training Time (s),0.0985,geofno,regdgcnn,pointnet,transolver_pp,transolver
3,MAPE (%),0.098,regdgcnn,geofno,transolver_pp,pointnet,transolver
4,MAE,0.0978,pointnet,transolver,transolver_pp,geofno,regdgcnn
5,MaxAE,0.0969,transolver,pointnet,transolver_pp,geofno,regdgcnn
6,RMSE,0.0967,pointnet,transolver,transolver_pp,geofno,regdgcnn
7,R²,0.0943,pointnet,transolver,transolver_pp,geofno,regdgcnn
8,Parameters (M),0.0907,regdgcnn,geofno,transolver_pp,pointnet,transolver
9,MAC,0.0907,regdgcnn,geofno,transolver_pp,pointnet,transolver
10,Rel-L2,0.0905,pointnet,transolver,transolver_pp,geofno,regdgcnn
