Rank,Metric,Weight,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5
1,Parameters (M),0.1499,regdgcnn,geofno,transolver_pp,pointnet,transolver
2,Inference Time (s),0.1145,pointnet,transolver,regdgcnn,geofno,transolver_pp
3,Training Time (s),0.1122,geofno,transolver,pointnet,transolver_pp,regdgcnn
4,MaxAE,0.1047,pointnet,geofno,transolver,regdgcnn,transolver_pp
5,MAC,0.0935,transolver_pp,regdgcnn,transolver,pointnet,geofno
6,MAPE (%),0.0917,transolver_pp,regdgcnn,geofno,transolver,pointnet
7,RMSE,0.0834,pointnet,geofno,transolver,regdgcnn,transolver_pp
8,MAE,0.0834,pointnet,geofno,transolver,transolver_pp,regdgcnn
9,Rel-L2,0.0834,pointnet,geofno,transolver,regdgcnn,transolver_pp
10,R²,0.0834,pointnet,geofno,transolver,regdgcnn,transolver_pp
