Rank,Metric,Weight,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5
1,Inference Time (s),0.1969,pointnet,transolver,transolver_pp,regdgcnn,geofno
2,Parameters (M),0.1291,regdgcnn,geofno,transolver_pp,pointnet,transolver
3,Training Time (s),0.1259,transolver,pointnet,regdgcnn,transolver_pp,geofno
4,MaxAE,0.0888,regdgcnn,transolver,transolver_pp,pointnet,geofno
5,MAPE (%),0.0828,transolver,transolver_pp,regdgcnn,geofno,pointnet
6,MAE,0.0795,transolver,transolver_pp,regdgcnn,geofno,pointnet
7,RMSE,0.0795,transolver,transolver_pp,regdgcnn,geofno,pointnet
8,R²,0.0795,transolver,transolver_pp,regdgcnn,geofno,pointnet
9,Rel-L2,0.0795,transolver,transolver_pp,regdgcnn,geofno,pointnet
10,MAC,0.0584,transolver,transolver_pp,regdgcnn,geofno,pointnet
