Rank,Metric,Weight,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5
1,Training Time (s),0.2669,transolver_pp,pointnet,regdgcnn,transolver,geofno
2,Parameters (M),0.1725,regdgcnn,geofno,transolver_pp,pointnet,transolver
3,Inference Time (s),0.0753,transolver,transolver_pp,regdgcnn,geofno,pointnet
4,MAPE (%),0.0743,regdgcnn,transolver,transolver_pp,pointnet,geofno
5,MaxAE,0.0727,transolver,transolver_pp,regdgcnn,pointnet,geofno
6,MAE,0.072,transolver,regdgcnn,transolver_pp,geofno,pointnet
7,RMSE,0.0711,transolver,regdgcnn,transolver_pp,geofno,pointnet
8,R²,0.0711,transolver,regdgcnn,transolver_pp,geofno,pointnet
9,Rel-L2,0.0711,transolver,regdgcnn,transolver_pp,geofno,pointnet
10,MAC,0.053,transolver,regdgcnn,transolver_pp,geofno,pointnet
