Rank,Metric,Weight,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5
1,Parameters (M),0.1887,regdgcnn,geofno,transolver_pp,pointnet,transolver
2,Training Time (s),0.1543,geofno,transolver_pp,transolver,pointnet,regdgcnn
3,Inference Time (s),0.0916,geofno,transolver_pp,pointnet,regdgcnn,transolver
4,MAPE (%),0.0914,regdgcnn,transolver,transolver_pp,geofno,pointnet
5,MaxAE,0.0902,pointnet,geofno,regdgcnn,transolver_pp,transolver
6,MAE,0.0818,regdgcnn,transolver,transolver_pp,geofno,pointnet
7,RMSE,0.0813,regdgcnn,transolver,transolver_pp,geofno,pointnet
8,R²,0.08,transolver,regdgcnn,transolver_pp,geofno,pointnet
9,Rel-L2,0.08,transolver,regdgcnn,transolver_pp,geofno,pointnet
10,MAC,0.0607,transolver,regdgcnn,transolver_pp,geofno,pointnet
