Rank,Metric,Weight,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5
1,Inference Time (s),0.1875,pointnet,transolver,regdgcnn,transolver_pp,geofno
2,Parameters (M),0.1656,regdgcnn,geofno,transolver_pp,pointnet,transolver
3,Training Time (s),0.1316,geofno,transolver_pp,transolver,pointnet,regdgcnn
4,MaxAE,0.0856,regdgcnn,transolver,transolver_pp,pointnet,geofno
5,MAPE (%),0.0757,regdgcnn,transolver,transolver_pp,geofno,pointnet
6,MAE,0.0749,regdgcnn,transolver,transolver_pp,geofno,pointnet
7,RMSE,0.0739,regdgcnn,transolver,transolver_pp,geofno,pointnet
8,R²,0.0739,regdgcnn,transolver,transolver_pp,geofno,pointnet
9,Rel-L2,0.0739,regdgcnn,transolver,transolver_pp,geofno,pointnet
10,MAC,0.0574,transolver,regdgcnn,transolver_pp,geofno,pointnet
