Rank,Metric,Weight,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5
1,Parameters (M),0.2121,regdgcnn,geofno,transolver_pp,pointnet,transolver
2,Inference Time (s),0.1413,geofno,transolver_pp,transolver,pointnet,regdgcnn
3,Training Time (s),0.0977,geofno,transolver_pp,pointnet,transolver,regdgcnn
4,MaxAE,0.0952,pointnet,geofno,regdgcnn,transolver,transolver_pp
5,MAPE (%),0.0804,regdgcnn,transolver,transolver_pp,geofno,pointnet
6,MAE,0.0796,regdgcnn,transolver,transolver_pp,geofno,pointnet
7,RMSE,0.0785,regdgcnn,transolver,transolver_pp,geofno,pointnet
8,R²,0.0785,regdgcnn,transolver,transolver_pp,geofno,pointnet
9,Rel-L2,0.0785,regdgcnn,transolver,transolver_pp,geofno,pointnet
10,MAC,0.0582,regdgcnn,transolver,transolver_pp,geofno,pointnet
