Rank,Metric,Weight,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5
1,Training Time (s),0.182,transolver,pointnet,geofno,regdgcnn,transolver_pp
2,MaxAE,0.115,transolver_pp,regdgcnn,transolver,pointnet,geofno
3,Parameters (M),0.1144,regdgcnn,geofno,transolver_pp,pointnet,transolver
4,Inference Time (s),0.1144,regdgcnn,geofno,transolver_pp,pointnet,transolver
5,MAPE (%),0.0872,transolver_pp,transolver,regdgcnn,pointnet,geofno
6,MAE,0.0821,transolver,transolver_pp,regdgcnn,pointnet,geofno
7,RMSE,0.0821,transolver,transolver_pp,regdgcnn,pointnet,geofno
8,R²,0.0821,transolver,transolver_pp,regdgcnn,pointnet,geofno
9,Rel-L2,0.0821,transolver,transolver_pp,regdgcnn,pointnet,geofno
10,MAC,0.0586,transolver,transolver_pp,regdgcnn,pointnet,geofno
