Rank,Metric,Weight,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5
1,Inference Time (s),0.1768,pointnet,transolver,transolver_pp,regdgcnn,geofno
2,Training Time (s),0.1461,transolver,pointnet,geofno,transolver_pp,regdgcnn
3,Parameters (M),0.1377,regdgcnn,geofno,transolver_pp,pointnet,transolver
4,MaxAE,0.0907,transolver,transolver_pp,regdgcnn,pointnet,geofno
5,R²,0.078,transolver_pp,transolver,regdgcnn,geofno,pointnet
6,RMSE,0.078,transolver_pp,transolver,regdgcnn,geofno,pointnet
7,Rel-L2,0.078,transolver_pp,transolver,regdgcnn,geofno,pointnet
8,MAE,0.0778,transolver,transolver_pp,regdgcnn,geofno,pointnet
9,MAPE (%),0.0774,transolver,transolver_pp,regdgcnn,geofno,pointnet
10,MAC,0.0596,transolver,transolver_pp,regdgcnn,geofno,pointnet
