Rank,Metric,Weight,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5
1,Training Time (s),0.1578,transolver_pp,geofno,pointnet,transolver,regdgcnn
2,Parameters (M),0.1566,regdgcnn,geofno,transolver_pp,pointnet,transolver
3,Inference Time (s),0.1205,regdgcnn,transolver_pp,pointnet,transolver,geofno
4,MAPE (%),0.091,transolver,transolver_pp,regdgcnn,geofno,pointnet
5,MaxAE,0.0908,regdgcnn,transolver_pp,transolver,pointnet,geofno
6,MAE,0.0871,regdgcnn,transolver,transolver_pp,geofno,pointnet
7,RMSE,0.0784,regdgcnn,transolver_pp,transolver,geofno,pointnet
8,R²,0.0784,regdgcnn,transolver,transolver_pp,geofno,pointnet
9,Rel-L2,0.0784,regdgcnn,transolver_pp,transolver,geofno,pointnet
10,MAC,0.061,regdgcnn,transolver,transolver_pp,pointnet,geofno
