Rank,Metric,Weight,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5
1,Training Time (s),0.1684,geofno,transolver_pp,transolver,pointnet,regdgcnn
2,Parameters (M),0.1452,regdgcnn,geofno,transolver_pp,pointnet,transolver
3,Inference Time (s),0.1215,geofno,transolver_pp,pointnet,regdgcnn,transolver
4,MAPE (%),0.0888,transolver_pp,transolver,regdgcnn,geofno,pointnet
5,MaxAE,0.0883,transolver,regdgcnn,transolver_pp,geofno,pointnet
6,MAE,0.0812,regdgcnn,transolver_pp,transolver,geofno,pointnet
7,Rel-L2,0.08,regdgcnn,transolver_pp,transolver,geofno,pointnet
8,R²,0.08,regdgcnn,transolver,transolver_pp,geofno,pointnet
9,RMSE,0.0793,regdgcnn,transolver_pp,transolver,geofno,pointnet
10,MAC,0.0674,transolver_pp,transolver,regdgcnn,geofno,pointnet
