Rank,Metric,Weight,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5
1,Training Time (s),0.1455,regdgcnn,transolver_pp,geofno,pointnet,transolver
2,Inference Time (s),0.128,regdgcnn,transolver_pp,pointnet,transolver,geofno
3,Parameters (M),0.12,regdgcnn,geofno,transolver_pp,pointnet,transolver
4,MaxAE,0.102,transolver_pp,regdgcnn,transolver,pointnet,geofno
5,MAPE (%),0.0981,transolver,transolver_pp,regdgcnn,pointnet,geofno
6,RMSE,0.0866,transolver,transolver_pp,regdgcnn,pointnet,geofno
7,Rel-L2,0.0866,transolver,transolver_pp,regdgcnn,pointnet,geofno
8,R²,0.0866,transolver,transolver_pp,regdgcnn,pointnet,geofno
9,MAE,0.0853,transolver,transolver_pp,regdgcnn,pointnet,geofno
10,MAC,0.0614,transolver,transolver_pp,regdgcnn,pointnet,geofno
