Rank,Metric,Weight,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5,Rank 6
1,Inference Time (s),0.2094,pointnet,transolver_pp,transolver,regdgcnn,abupt,geofno
2,Parameters (M),0.1104,regdgcnn,geofno,transolver_pp,pointnet,transolver,abupt
3,Training Time (s),0.1085,geofno,transolver,regdgcnn,pointnet,transolver_pp,abupt
4,MaxAE,0.1081,transolver,abupt,regdgcnn,transolver_pp,pointnet,geofno
5,MAPE (%),0.086,transolver_pp,abupt,transolver,regdgcnn,pointnet,geofno
6,RMSE,0.0794,transolver,abupt,transolver_pp,regdgcnn,pointnet,geofno
7,Rel-L2,0.0794,transolver,abupt,transolver_pp,regdgcnn,pointnet,geofno
8,R²,0.0794,transolver,abupt,transolver_pp,regdgcnn,pointnet,geofno
9,MAE,0.0786,abupt,transolver,transolver_pp,regdgcnn,pointnet,geofno
10,MAC,0.0609,abupt,transolver,transolver_pp,regdgcnn,pointnet,geofno
