Rank,Metric,Weight,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5,Rank 6
1,Parameters (M),0.2187,regdgcnn,geofno,transolver_pp,pointnet,transolver,abupt
2,Inference Time (s),0.1288,geofno,transolver,pointnet,abupt,regdgcnn,transolver_pp
3,MaxAE,0.1148,transolver_pp,abupt,regdgcnn,transolver,geofno,pointnet
4,Training Time (s),0.0905,pointnet,geofno,transolver_pp,transolver,abupt,regdgcnn
5,MAPE (%),0.0801,regdgcnn,transolver_pp,transolver,abupt,pointnet,geofno
6,MAE,0.0779,transolver_pp,regdgcnn,transolver,abupt,pointnet,geofno
7,RMSE,0.0773,regdgcnn,transolver_pp,transolver,abupt,pointnet,geofno
8,R²,0.0773,transolver,transolver_pp,regdgcnn,abupt,pointnet,geofno
9,Rel-L2,0.0773,regdgcnn,transolver,transolver_pp,abupt,pointnet,geofno
10,MAC,0.0575,regdgcnn,transolver,abupt,transolver_pp,pointnet,geofno
