Rank,Metric,Weight,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5,Rank 6
1,Inference Time (s),0.2343,pointnet,transolver_pp,transolver,regdgcnn,abupt,geofno
2,Training Time (s),0.1221,geofno,transolver,pointnet,transolver_pp,regdgcnn,abupt
3,Parameters (M),0.1146,regdgcnn,geofno,transolver_pp,pointnet,transolver,abupt
4,MaxAE,0.1062,abupt,transolver,transolver_pp,regdgcnn,pointnet,geofno
5,MAPE (%),0.0783,transolver_pp,transolver,abupt,regdgcnn,geofno,pointnet
6,MAE,0.0737,transolver,transolver_pp,abupt,regdgcnn,geofno,pointnet
7,RMSE,0.072,transolver,transolver_pp,abupt,regdgcnn,geofno,pointnet
8,R²,0.072,transolver,abupt,transolver_pp,regdgcnn,geofno,pointnet
9,Rel-L2,0.072,transolver,transolver_pp,abupt,regdgcnn,geofno,pointnet
10,MAC,0.055,abupt,transolver,transolver_pp,regdgcnn,geofno,pointnet
