Rank,Metric,Weight,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5,Rank 6
1,Parameters (M),0.2029,regdgcnn,geofno,transolver_pp,pointnet,transolver,abupt
2,Inference Time (s),0.1286,geofno,transolver,pointnet,abupt,regdgcnn,transolver_pp
3,MaxAE,0.1126,transolver,transolver_pp,abupt,regdgcnn,pointnet,geofno
4,Training Time (s),0.0884,pointnet,geofno,transolver_pp,transolver,abupt,regdgcnn
5,MAPE (%),0.085,regdgcnn,transolver_pp,transolver,abupt,geofno,pointnet
6,MAE,0.0813,transolver,transolver_pp,regdgcnn,abupt,geofno,pointnet
7,RMSE,0.0793,transolver,regdgcnn,transolver_pp,abupt,geofno,pointnet
8,R²,0.0793,transolver,regdgcnn,transolver_pp,abupt,geofno,pointnet
9,Rel-L2,0.0793,transolver,regdgcnn,transolver_pp,abupt,geofno,pointnet
10,MAC,0.0633,regdgcnn,abupt,transolver,transolver_pp,geofno,pointnet
