Rank,Metric,Weight,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5,Rank 6
1,Inference Time (s),0.18,pointnet,transolver_pp,transolver,abupt,regdgcnn,geofno
2,Training Time (s),0.1421,geofno,transolver,pointnet,transolver_pp,regdgcnn,abupt
3,Parameters (M),0.1193,regdgcnn,geofno,transolver_pp,pointnet,transolver,abupt
4,MaxAE,0.1133,transolver,regdgcnn,abupt,transolver_pp,pointnet,geofno
5,MAPE (%),0.0861,transolver_pp,transolver,abupt,regdgcnn,geofno,pointnet
6,MAE,0.078,transolver,abupt,transolver_pp,regdgcnn,geofno,pointnet
7,RMSE,0.0753,transolver,abupt,transolver_pp,regdgcnn,geofno,pointnet
8,R²,0.0753,transolver,abupt,transolver_pp,regdgcnn,geofno,pointnet
9,Rel-L2,0.0753,transolver,abupt,transolver_pp,regdgcnn,geofno,pointnet
10,MAC,0.0553,transolver,abupt,transolver_pp,regdgcnn,geofno,pointnet
