Rank,Metric,Weight,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5,Rank 6
1,Parameters (M),0.1696,regdgcnn,geofno,transolver_pp,pointnet,transolver,abupt
2,Training Time (s),0.1487,transolver_pp,pointnet,geofno,transolver,regdgcnn,abupt
3,Inference Time (s),0.1465,geofno,transolver,abupt,pointnet,transolver_pp,regdgcnn
4,MaxAE,0.1001,regdgcnn,transolver,abupt,transolver_pp,pointnet,geofno
5,MAPE (%),0.0839,regdgcnn,transolver_pp,transolver,abupt,geofno,pointnet
6,MAE,0.0742,regdgcnn,transolver,transolver_pp,abupt,geofno,pointnet
7,RMSE,0.0733,regdgcnn,transolver,transolver_pp,abupt,geofno,pointnet
8,R²,0.0733,transolver,regdgcnn,transolver_pp,abupt,geofno,pointnet
9,Rel-L2,0.0733,transolver,regdgcnn,transolver_pp,abupt,geofno,pointnet
10,MAC,0.0572,regdgcnn,transolver,abupt,transolver_pp,geofno,pointnet
