Rank,Metric,Weight,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5,Rank 6
1,Inference Time (s),0.1981,pointnet,transolver,transolver_pp,regdgcnn,abupt,geofno
2,Parameters (M),0.147,regdgcnn,geofno,transolver_pp,pointnet,transolver,abupt
3,MaxAE,0.1181,transolver,regdgcnn,transolver_pp,abupt,geofno,pointnet
4,Training Time (s),0.1004,geofno,pointnet,regdgcnn,transolver_pp,transolver,abupt
5,RMSE,0.0873,transolver,transolver_pp,abupt,regdgcnn,pointnet,geofno
6,MAE,0.0873,transolver,transolver_pp,abupt,regdgcnn,pointnet,geofno
7,MAPE (%),0.0873,transolver,transolver_pp,abupt,regdgcnn,pointnet,geofno
8,R²,0.0873,transolver,transolver_pp,abupt,regdgcnn,pointnet,geofno
9,Rel-L2,0.0873,transolver,transolver_pp,abupt,regdgcnn,pointnet,geofno
10,MAC,0.0,abupt,geofno,pointnet,regdgcnn,transolver,transolver_pp
