Rank,Metric,Weight,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5,Rank 6
1,Parameters (M),0.2452,regdgcnn,geofno,transolver_pp,pointnet,transolver,abupt
2,Training Time (s),0.1274,pointnet,geofno,transolver_pp,transolver,abupt,regdgcnn
3,MaxAE,0.0962,transolver_pp,regdgcnn,abupt,geofno,transolver,pointnet
4,MAE,0.0916,transolver_pp,regdgcnn,transolver,abupt,pointnet,geofno
5,MAPE (%),0.0916,transolver_pp,regdgcnn,transolver,abupt,pointnet,geofno
6,Inference Time (s),0.088,pointnet,geofno,transolver,abupt,regdgcnn,transolver_pp
7,RMSE,0.0867,transolver_pp,regdgcnn,transolver,abupt,geofno,pointnet
8,R²,0.0867,transolver_pp,regdgcnn,transolver,abupt,geofno,pointnet
9,Rel-L2,0.0867,transolver_pp,regdgcnn,transolver,abupt,geofno,pointnet
10,MAC,0.0,abupt,geofno,pointnet,regdgcnn,transolver,transolver_pp
