Rank,Metric,Weight,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5,Rank 6
1,Inference Time (s),0.1792,abupt,transolver,pointnet,regdgcnn,transolver_pp,geofno
2,Training Time (s),0.1425,transolver_pp,pointnet,transolver,geofno,abupt,regdgcnn
3,Parameters (M),0.1321,regdgcnn,geofno,transolver_pp,pointnet,transolver,abupt
4,MaxAE,0.1215,regdgcnn,abupt,transolver,geofno,pointnet,transolver_pp
5,RMSE,0.085,regdgcnn,transolver_pp,transolver,abupt,geofno,pointnet
6,MAE,0.085,regdgcnn,transolver_pp,transolver,abupt,geofno,pointnet
7,MAPE (%),0.085,regdgcnn,transolver_pp,transolver,abupt,geofno,pointnet
8,R²,0.085,regdgcnn,transolver_pp,transolver,abupt,geofno,pointnet
9,Rel-L2,0.085,regdgcnn,transolver_pp,transolver,abupt,geofno,pointnet
10,MAC,0.0,abupt,geofno,pointnet,regdgcnn,transolver,transolver_pp
