Rank,Metric,Weight,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5,Rank 6
1,Parameters (M),0.1796,regdgcnn,geofno,transolver_pp,pointnet,transolver,abupt
2,Training Time (s),0.1479,pointnet,transolver_pp,geofno,transolver,regdgcnn,abupt
3,MaxAE,0.1159,regdgcnn,transolver,abupt,geofno,transolver_pp,pointnet
4,Inference Time (s),0.0952,pointnet,geofno,transolver,abupt,transolver_pp,regdgcnn
5,MAPE (%),0.0952,regdgcnn,transolver_pp,transolver,geofno,abupt,pointnet
6,MAE,0.0915,regdgcnn,transolver_pp,transolver,abupt,geofno,pointnet
7,RMSE,0.0915,regdgcnn,transolver_pp,transolver,abupt,geofno,pointnet
8,R²,0.0915,regdgcnn,transolver_pp,transolver,abupt,geofno,pointnet
9,Rel-L2,0.0915,regdgcnn,transolver_pp,transolver,abupt,geofno,pointnet
10,MAC,0.0,abupt,geofno,pointnet,regdgcnn,transolver,transolver_pp
