Rank,Metric,Weight,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5,Rank 6
1,Inference Time (s),0.211,pointnet,transolver_pp,transolver,regdgcnn,abupt,geofno
2,Parameters (M),0.1143,regdgcnn,geofno,transolver_pp,pointnet,transolver,abupt
3,Training Time (s),0.1111,geofno,transolver,pointnet,regdgcnn,transolver_pp,abupt
4,MaxAE,0.1091,transolver,abupt,regdgcnn,transolver_pp,geofno,pointnet
5,MAPE (%),0.0855,abupt,transolver_pp,transolver,regdgcnn,pointnet,geofno
6,MAE,0.0774,abupt,transolver,transolver_pp,regdgcnn,pointnet,geofno
7,RMSE,0.077,abupt,transolver,transolver_pp,regdgcnn,pointnet,geofno
8,R²,0.077,abupt,transolver,regdgcnn,transolver_pp,pointnet,geofno
9,Rel-L2,0.077,abupt,transolver,transolver_pp,regdgcnn,pointnet,geofno
10,MAC,0.0606,abupt,transolver,regdgcnn,transolver_pp,pointnet,geofno
