Rank,Metric,Weight,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5,Rank 6
1,Inference Time (s),0.2122,pointnet,transolver_pp,transolver,regdgcnn,abupt,geofno
2,Training Time (s),0.145,geofno,transolver,regdgcnn,pointnet,transolver_pp,abupt
3,MaxAE,0.111,abupt,transolver,regdgcnn,transolver_pp,pointnet,geofno
4,Parameters (M),0.1043,regdgcnn,geofno,transolver_pp,pointnet,transolver,abupt
5,MAPE (%),0.0767,transolver,abupt,transolver_pp,regdgcnn,geofno,pointnet
6,MAE,0.0752,transolver,abupt,transolver_pp,regdgcnn,geofno,pointnet
7,RMSE,0.0731,transolver,abupt,transolver_pp,regdgcnn,geofno,pointnet
8,R²,0.0731,transolver,abupt,transolver_pp,regdgcnn,geofno,pointnet
9,Rel-L2,0.0731,transolver,abupt,transolver_pp,regdgcnn,geofno,pointnet
10,MAC,0.0564,transolver,abupt,transolver_pp,regdgcnn,geofno,pointnet
