Rank,Metric,Weight,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5,Rank 6
1,Parameters (M),0.1819,regdgcnn,geofno,transolver_pp,pointnet,transolver,abupt
2,Inference Time (s),0.1494,geofno,transolver,abupt,pointnet,regdgcnn,transolver_pp
3,MaxAE,0.1243,abupt,transolver,regdgcnn,transolver_pp,pointnet,geofno
4,Training Time (s),0.0903,pointnet,geofno,transolver,transolver_pp,abupt,regdgcnn
5,MAPE (%),0.0816,regdgcnn,transolver_pp,transolver,abupt,geofno,pointnet
6,MAE,0.0773,transolver_pp,transolver,regdgcnn,abupt,geofno,pointnet
7,RMSE,0.0773,transolver_pp,transolver,regdgcnn,abupt,geofno,pointnet
8,R²,0.0773,transolver,regdgcnn,abupt,transolver_pp,geofno,pointnet
9,Rel-L2,0.0773,transolver,regdgcnn,transolver_pp,abupt,geofno,pointnet
10,MAC,0.0634,regdgcnn,transolver,abupt,transolver_pp,geofno,pointnet
