Rank,Metric,Weight,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5,Rank 6
1,Inference Time (s),0.1973,pointnet,transolver_pp,transolver,abupt,regdgcnn,geofno
2,Parameters (M),0.1309,regdgcnn,geofno,transolver_pp,pointnet,transolver,abupt
3,MaxAE,0.1218,transolver,regdgcnn,abupt,transolver_pp,geofno,pointnet
4,Training Time (s),0.1087,geofno,pointnet,transolver,transolver_pp,regdgcnn,abupt
5,MAPE (%),0.084,transolver_pp,transolver,abupt,regdgcnn,geofno,pointnet
6,MAE,0.0778,transolver,abupt,transolver_pp,regdgcnn,geofno,pointnet
7,RMSE,0.0748,transolver,abupt,regdgcnn,transolver_pp,geofno,pointnet
8,R²,0.0748,transolver,abupt,regdgcnn,transolver_pp,geofno,pointnet
9,Rel-L2,0.0748,transolver,abupt,regdgcnn,transolver_pp,geofno,pointnet
10,MAC,0.055,transolver,abupt,regdgcnn,transolver_pp,geofno,pointnet
