Rank,Metric,Weight,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5,Rank 6
1,Inference Time (s),0.1997,transolver,geofno,abupt,pointnet,regdgcnn,transolver_pp
2,Parameters (M),0.1451,regdgcnn,geofno,transolver_pp,pointnet,transolver,abupt
3,MaxAE,0.1058,transolver,transolver_pp,abupt,regdgcnn,geofno,pointnet
4,Training Time (s),0.0935,pointnet,geofno,transolver,transolver_pp,abupt,regdgcnn
5,MAPE (%),0.0819,abupt,regdgcnn,transolver,transolver_pp,pointnet,geofno
6,MAE,0.0794,abupt,transolver,regdgcnn,transolver_pp,pointnet,geofno
7,RMSE,0.0788,abupt,transolver,regdgcnn,transolver_pp,pointnet,geofno
8,R²,0.0788,abupt,transolver,transolver_pp,regdgcnn,pointnet,geofno
9,Rel-L2,0.0788,abupt,transolver,regdgcnn,transolver_pp,pointnet,geofno
10,MAC,0.0581,abupt,regdgcnn,transolver,transolver_pp,pointnet,geofno
